program_key,program_name,administering_agency,funding_level,status,status_detail,eligible_applicants,police,fire_ems,emergency_mgmt,utilities,critical_infra,cities_counties,events_venues,tribal,key_eligible_uses,application_portal,window_note,sales_note
AFG,AFG (Assistance to Firefighters Grant),FEMA,$291.6M (FY2025),OPEN,FY2025 window OPEN NOW: May 19 – June 22 2026 5pm ET. ~1800 awards expected.,Fire departments apply directly,,X,,,,,,,"Equipment, vehicle-mounted PA/LRAD, communications equipment, training",grants.gov + FEMA GO,APPLICATION WINDOW CLOSES JUNE 22 2026 — condensed window due to budget delays,URGENT: every fire-department conversation this month should reference the open AFG window. Fire chiefs apply directly — no state pass-through. Offer the pre-written narrative from the Procurement Toolkit.
NGWSGP,NGWSGP (Next Generation Warning System),FEMA,$40M (FY2025),ACTIVE,FY2025 NOFO published Aug 2025 (apps closed Aug 15 2025); FY2026 NOFO expected late summer 2026,States and federally recognized Tribes (pass-through to locals),,X,X,,X,X,X,X,"IPAWS-compatible sirens, giant-voice PA, advanced audio/visual alert systems, satellite alert tech, datacasting",go.fema.gov,Annual — position locals with their state EM agency BEFORE the FY2026 NOFO drops,MOST directly relevant program for Genasys. States apply and pass through — build the SAA relationship now so your prospect's project is in the state application.
SHSP,HSGP – SHSP (State Homeland Security Program),FEMA/DHS,$373.5M (FY2025),ACTIVE,FY2026 NOFO not yet released as of June 2026 — expected mid-2026,"States, locals, tribes via State Administrative Agency (SAA)",X,X,X,,X,X,,X,"Emergency notification systems, interoperable communications, protective equipment, planning & training",go.fema.gov via SAA,FY2026 NOFO pending — get projects onto the state priority list now,30% must align to national priorities. Align asks with the state THIRA/SPR capability gaps — the Meeting Prep page shows how.
UASI,HSGP – UASI (Urban Areas Security Initiative),FEMA/DHS,$553.5M (FY2025),ACTIVE,FY2026 NOFO not yet released as of June 2026,44 designated high-risk urban areas,X,X,X,,X,X,X,,"Urban threat gaps: notification, protective communications, event security",go.fema.gov via SAA/UAWG,FY2026 NOFO pending,"If the metro is UASI-designated, dedicated money already exists. Largest allocations: NYC, LA, Chicago, Houston, DC."
THSGP,THSGP (Tribal Homeland Security Grant Program),FEMA/DHS,$13.5M (FY2025),ACTIVE,FY2026 NOFO not yet released as of June 2026,Federally recognized tribes directly,X,X,X,,X,,,X,"Tribal disaster warning networks, evacuation mapping, interoperable comms",go.fema.gov,FY2026 NOFO pending,Dedicated tribal funding stream — far less competitive than open programs. Pair with NGWSGP tribal eligibility.
EMPG,EMPG (Emergency Mgmt Performance Grant),FEMA,$319.5M (FY2025),ACTIVE,FY2026 NOFO not yet released as of June 2026; annual non-competitive allocation,States (pass-through to local EM agencies),,,X,,,X,,X,"Planning, equipment, alert/warning capability building — broadest EM use",go.fema.gov via state EM,Annual allocation — locals should ask their state EM office about their share NOW,"The 'they always have this money' program — continuous, non-competitive. 50% local match required; position Protect as the platform their EMPG plan funds every year."
HMGP,HMGP (Hazard Mitigation Grant Program),FEMA,Varies by disaster (75/25 federal match),POST-DISASTER,Functioning normally — triggered by Presidential Major Disaster Declaration,"State, local, tribal in declared disaster areas",,X,X,X,X,X,,X,"Warning systems, evacuation improvements, infrastructure hardening — flexible post-disaster money",Via state hazard mitigation officer,Projects generally due by March 31 following the fiscal year of the event,"THE post-disaster play: any county (or neighbor) with a declaration in the last 24 months is sitting on flexible mitigation funds. Lead outreach with their own declaration number."
BRIC,BRIC (Building Resilient Infrastructure & Communities),FEMA,$882M returned to Treasury,UNCERTAIN,"Terminated April 2025; court ordered restoration Dec 2025; FEMA non-compliant as of early 2026 — legal limbo, no active NOFO",Formerly states/locals/tribes,,,X,X,X,X,,X,Pre-disaster mitigation (formerly funded alert systems),None — monitor litigation,No active NOFO — do NOT build a deal on BRIC,"Do not pitch BRIC. If a prospect's project was stranded by the cancellation, pivot them to HMGP (if declared) or NGWSGP/SHSP."
HHPD,HHPD (Rehabilitation of High Hazard Potential Dams),FEMA,$185.1M (FY2024 - 32 states),ACTIVE,Funded via National Dam Safety Program; allocations flow through state dam safety offices,Non-federal high-hazard dams via states,,,X,X,X,X,,,"Early-warning systems, downstream voice sirens, evacuation mapping below dams",Via state dam safety office,Annual state allocations,"Public Works / dam-safety play: funds the exact fixed acoustic arrays + evacuation zones needed below high-hazard dams. Find dams in the prospect's county first (NID database)."
USDA_CF,USDA Community Facilities Direct Loan & Grant,USDA Rural Development,~$2.8B annual program level,ACTIVE,Rolling applications year-round through USDA RD state offices,"Rural communities, towns <20k population, tribes",X,X,X,,,X,,X,"Public safety equipment, warning sirens, emergency vehicles, communications hardware",USDA RD state office,Rolling — no deadline pressure,"The rural play: communities under 20k that fail every FEMA competitive test still qualify here. Grants up to 75% in lowest-income communities, plus low-interest loans."
COPS,COPS Hiring + Technology Programs,DOJ,$156.7M CHP (FY2025),ACTIVE,Annual cycles; FY2026 proposed increase,Law enforcement agencies directly,X,,,,,X,,X,"Hiring, community policing technology and equipment",cops.usdoj.gov,Annual — typically opens in spring,Position LRAD as de-escalation technology (voice before force). Best as secondary funding for PD deals.
NSGP,NSGP (Nonprofit Security Grant Program),FEMA/DHS,$274.5M (FY2025),ACTIVE,FY2026 NOFO not yet released as of June 2026,"Nonprofits at risk of terrorist attack (houses of worship, schools, venues)",,,,,X,,X,,"Target hardening, alert/notification systems for nonprofit facilities",go.fema.gov via SAA,FY2026 NOFO pending,"Venue/campus play: nonprofit venues, religious institutions, private schools can fund notification through NSGP."
SLCGP,SLCGP (State & Local Cybersecurity Grant Program),CISA/FEMA,$279.9M (FY2024),UNCERTAIN,Program authorization lapsed Sept 2025; reauthorization pending in Congress,States/locals via SAA,,,X,X,X,X,,X,Cybersecurity improvements incl. resilient/redundant communications,go.fema.gov,Monitor reauthorization,Secondary angle: cloud-native Protect platform supports cyber-resilience narratives when paired with redundant acoustic alerting.
CUAS,C-UAS Grant Program (NEW),FEMA/DHS,$250M (FY2026),ACTIVE,New program — FY2026 awards announced for World Cup host states + National Capital Region,11 FIFA World Cup host states + NCR,X,,X,,X,X,X,,"Counter-drone detection and response capability, event security",Via SAA,FY2026 awards announced — host states allocating now,"NEW MONEY: if your prospect is in a World Cup host state, C-UAS funds are flowing. LRAD is a recognized C-UAS warning/response layer."
FWCGP,FIFA World Cup Grant Program (NEW),FEMA/DHS,$625M one-time,ACTIVE,Awards made — application closed Dec 5 2025; host jurisdictions now spending through 2026,World Cup host jurisdictions,X,X,X,,X,X,X,,"Event security, crowd management, communications, public safety operations",Awarded — spend in progress,Host cities are spending NOW through the tournament,"Host metros (Atlanta, Boston, Dallas, Houston, KC, LA, Miami, NY/NJ, Philly, SF Bay, Seattle) hold one-time money they must spend on event safety in 2026 — LRAD crowd comms + Protect zone management fit exactly."
