State,Agency Name,Emergency Management Agency URL,EM/Homeland Security Grants Page,Statewide Grant/Funding Portal,Link Status
Alabama,Alabama Emergency Management Agency (AEMA),https://ema.alabama.gov,https://www.alea.gov/homeland-security-grant-program,https://adeca.alabama.gov/esg/,Verified Jun 2026
Alaska,Alaska Division of Homeland Security & Emergency Management,https://ready.alaska.gov,https://ready.alaska.gov/Grants/SHSP,https://akfederalfunding.org/grant-opportunities/,Verified Jun 2026
Arizona,Arizona Department of Emergency & Military Affairs (DEMA),https://dema.az.gov,https://dema.az.gov/emergency-management/grants,,Verified Jun 2026 (site blocks bots; loads in browser)
Arkansas,Arkansas Division of Emergency Management (ADEM),https://dps.arkansas.gov/emergency-management/adem,https://dps.arkansas.gov/emergency-management/adem/grants-funding/,,Verified Jun 2026 (site blocks bots; loads in browser)
California,California Governor's Office of Emergency Services (Cal OES),https://www.caloes.ca.gov,https://www.caloes.ca.gov/office-of-the-director/policy-administration/finance-administration/grants-management,https://www.caloes.ca.gov/office-of-the-director/policy-administration/finance-administration/grants-management/search-for-grants,Verified Jun 2026
Colorado,Colorado Division of Homeland Security and Emergency Management (DHSEM),https://dhsem.colorado.gov,https://dhsem.colorado.gov/grants-management/grant-programs,,Verified Jun 2026
Connecticut,Connecticut Division of Emergency Management and Homeland Security (DEMHS),https://portal.ct.gov/demhs/emergency-management/emergency-management-home,https://portal.ct.gov/demhs/emergency-management/resources-for-officials/community-preparedness-and-grants,,Fixed Jun 2026 (EM home moved)
Delaware,Delaware Emergency Management Agency (DEMA),https://dema.delaware.gov,https://dema.delaware.gov/about/grants/,,Verified Jun 2026
District of Columbia,DC Homeland Security and Emergency Management Agency (HSEMA),https://hsema.dc.gov,https://hsema.dc.gov/page/grants,,Verified Jun 2026 (grants page blocks bots; loads in browser)
Florida,Florida Division of Emergency Management (FDEM),https://www.floridadisaster.org,https://www.floridadisaster.org/dem/finance/grants-unit/,https://flshmp-floridadisaster.hub.arcgis.com/pages/funding,Verified Jun 2026
Georgia,Georgia Emergency Management and Homeland Security Agency (GEMA/HS),https://gema.georgia.gov,https://gema.georgia.gov/assistance/preparedness-grants-and-programs,,Verified Jun 2026
Hawaii,Hawai'i Emergency Management Agency (HI-EMA),https://dod.hawaii.gov/hiema,https://dod.hawaii.gov/hiema/disaster-grants/,,Verified Jun 2026
Idaho,Idaho Office of Emergency Management (IOEM),https://ioem.idaho.gov,https://ioem.idaho.gov/grants/,,Verified Jun 2026
Illinois,Illinois Emergency Management Agency - Office of Homeland Security (IEMA-OHS),https://iemaohs.illinois.gov,https://iemaohs.illinois.gov/hs/hsac/empg.html,,Verified Jun 2026
Indiana,Indiana Department of Homeland Security (IDHS),https://www.in.gov/dhs,https://www.in.gov/dhs/grants-management/,,Verified Jun 2026
Iowa,Iowa Homeland Security and Emergency Management (HSEMD),https://homelandsecurity.iowa.gov,https://homelandsecurity.iowa.gov/grants,,Verified Jun 2026
Kansas,Kansas Division of Emergency Management (KDEM),https://www.kansastag.gov,https://www.kansastag.gov/631/Emergency-Management-Performance-Grant,,Verified Jun 2026
Kentucky,Kentucky Emergency Management (KYEM),https://www.kyem.ky.gov,https://www.kyem.ky.gov/Who%20We%20Are/Pages/Grants.aspx,,Verified Jun 2026 (site blocks bots; loads in browser)
Louisiana,Governor's Office of Homeland Security & Emergency Preparedness (GOHSEP),https://gohsep.la.gov,https://gohsep.la.gov/divisions/grants-administration/grants-overview/,,Verified Jun 2026
Maine,Maine Emergency Management Agency (MEMA),https://www.maine.gov/mema,https://www.maine.gov/mema/grants,,Verified Jun 2026
Maryland,Maryland Department of Emergency Management (MDEM),https://mdem.maryland.gov,https://mdem.maryland.gov/community/pages/grants-management.aspx,,Verified Jun 2026
Massachusetts,Massachusetts Emergency Management Agency (MEMA),https://www.mass.gov/orgs/massachusetts-emergency-management-agency,https://www.mass.gov/info-details/grants-for-fire-departments,,Verified Jun 2026 (site blocks bots; loads in browser)
Michigan,Michigan State Police - Emergency Management & Homeland Security Division (EMHSD),https://www.michigan.gov/msp/divisions/emhsd,https://www.michigan.gov/msp/divisions/emhsd/grant-programs,,Verified Jun 2026
Minnesota,Minnesota Homeland Security and Emergency Management (HSEM),https://dps.mn.gov/divisions/hsem,https://dps.mn.gov/divisions/hsem/em-resources/security-and-emergency-management-grants,,Verified Jun 2026
Mississippi,Mississippi Emergency Management Agency (MEMA),https://www.msema.org,https://www.msema.org/about/about-mema/mitigation/available-grants,,Verified Jun 2026
Missouri,Missouri State Emergency Management Agency (SEMA),https://sema.dps.mo.gov,https://sema.dps.mo.gov/programs/,,Verified Jun 2026
Montana,Montana Disaster & Emergency Services (MT DES),https://des.mt.gov,https://des.mt.gov/Grant-Programs/EMPG-Program,,Verified Jun 2026
Nebraska,Nebraska Emergency Management Agency (NEMA),https://nema.nebraska.gov,https://nema.nebraska.gov/grants.php,,Verified Jun 2026
Nevada,Nevada Division of Emergency Management / Homeland Security (NDEM),https://www.oem.nv.gov,https://www.oem.nv.gov/grants-management/,,Verified Jun 2026
New Hampshire,New Hampshire Homeland Security and Emergency Management (NH HSEM),https://www.nh.gov/safety/divisions/hsem,https://www.nh.gov/safety/divisions/hsem/grants/,,Verified Jun 2026 (site blocks bots; loads in browser)
New Jersey,New Jersey Office of Homeland Security and Preparedness (NJOHSP),https://www.njohsp.gov,https://www.njohsp.gov/programs/grants,,Fixed Jun 2026 (domain changed from njhomelandsecurity.gov)
New Mexico,New Mexico Department of Homeland Security and Emergency Management (DHSEM),https://www.dhsem.nm.gov,https://www.dhsem.nm.gov/grants/,,Fixed Jun 2026 (domain changed from nmdhsem.org)
New York,New York Division of Homeland Security and Emergency Services (DHSES),https://www.dhses.ny.gov,https://www.dhses.ny.gov/grants,,Verified Jun 2026
North Carolina,North Carolina Emergency Management (NCEM),https://www.ncdps.gov/our-organization/emergency-management,https://www.ncdps.gov/NCEMGrants,,Verified Jun 2026
North Dakota,North Dakota Department of Emergency Services (NDDES),https://www.des.nd.gov,https://www.des.nd.gov/preparedness/grants,https://grants.des.nd.gov,Fixed Jun 2026 (site restructured)
Ohio,Ohio Emergency Management Agency (Ohio EMA),https://ema.ohio.gov,https://ema.ohio.gov/prepare-respond/preparedness-grants,,Verified Jun 2026
Oklahoma,Oklahoma Office of Homeland Security (ODEMHS),https://oklahoma.gov/homeland-security.html,https://oklahoma.gov/homeland-security/grants.html,,Fixed Jun 2026 (moved off ok.gov)
Oregon,Oregon Department of Emergency Management (OR OEM),https://www.oregon.gov/oem,https://www.oregon.gov/oem/emresources/grants/pages/default.aspx,,Verified Jun 2026
Pennsylvania,Pennsylvania Emergency Management Agency (PEMA),https://www.pa.gov/agencies/pema,https://www.pa.gov/agencies/pema/emergency-managers/grants,,Verified Jun 2026
Rhode Island,Rhode Island Emergency Management Agency (RIEMA),https://riema.ri.gov,https://riema.ri.gov/fiscal-branch,,Fixed Jun 2026 (grants page moved to Finance & Grants Branch)
South Carolina,South Carolina Emergency Management Division (SCEMD),https://scemd.org,https://www.scemd.org/recover/hazard-mitigation/,,Verified Jun 2026
South Dakota,South Dakota Office of Emergency Management (SD OEM),https://dps.sd.gov/emergency-services/emergency-management,https://www.sd.gov/dps?id=cs_kb_article_view&sysparm_article=KB0043387&sys_kb_id=95a6e1ce97c26e50447ef64ef053af5a&spa=1,,Verified Jun 2026
Tennessee,Tennessee Emergency Management Agency (TEMA),https://www.tn.gov/tema,https://www.tn.gov/tema/emergency-community/grant-programs.html,https://www.tn.gov/rural/search-for-grants---resources.html,Verified Jun 2026
Texas,Texas Division of Emergency Management (TDEM),https://tdem.texas.gov,https://tdem.texas.gov/mitigation/programs-contact-list,https://texasfloodclearinghouse.org/funding/index.html,Verified Jun 2026
Utah,Utah Division of Emergency Management (Utah DEM),https://dem.utah.gov,https://dem.utah.gov/grant-opportunities/,,Fixed Jun 2026 (grants page moved)
Vermont,Vermont Emergency Management (VEM),https://vem.vermont.gov,https://vem.vermont.gov/funding,,Verified Jun 2026
Virginia,Virginia Department of Emergency Management (VDEM),https://vdem.virginia.gov,https://vdem.virginia.gov/divisions/finance/grants/,,Fixed Jun 2026 (domain changed from vaemergency.gov)
Washington,Washington Emergency Management Division (WA EMD),https://mil.wa.gov/emergency-management-division,https://mil.wa.gov/grants,,Verified Jun 2026
West Virginia,West Virginia Emergency Management Division (WVEMD),https://emd.wv.gov,https://grants.wv.gov/resources/constituent/Pages/Emergency-Mgt.aspx,https://grants.wv.gov,Fixed Jun 2026 (grants page moved to grants.wv.gov)
Wisconsin,Wisconsin Emergency Management (WEM),https://wem.wi.gov,https://wem.wi.gov/grants/,,Verified Jun 2026
Wyoming,Wyoming Office of Homeland Security (WOHS),https://hls.wyo.gov,https://hls.wyo.gov/grants,,Verified Jun 2026
